Catégorie;Categorie;Category;Nombre total d'unités;Nombre de chambres;Surface totale (m2);Surface moyenne (m2);Loyer total;Loyer moyen;Loyer au m2
Maison;Huis;House;5;2;495.0;99.0;3845.0;769.0;7.7677
Appartement;Appartement;Appartment;641;3;71073.75000000001;110.87948517940718;643008.0;1003.1326053042121;9.0471
Maison;Huis;House;31;4;4409.5;142.24193548387098;36395.0;1174.032258064516;8.2538
Maison;Huis;House;25;1;1314.0;52.56;15895.0;635.8;12.0967
Appartement;Appartement;Appartment;99;4;13229.490000000002;133.63121212121212;115155.0;1163.1818181818182;8.7044
Appartement;Appartement;Appartment;1448;2;123987.22000000003;85.62653314917127;1227173.0;847.4951657458564;9.8976
Appartement;Appartement;Appartment;4;0;250.0;62.5;550.0;137.5;2.2
Appartement;Appartement;Appartment;1052;1;65468.89999999998;62.23279467680609;718796.0;683.2661596958175;10.9792
Maison;Huis;House;34;3;4556.0;134.0;40965.0;1204.8529411764707;8.9914
Appartement;Appartement;Appartment;6;5;898.4;149.73333333333335;8331.0;1388.5;9.2732
Maison;Huis;House;2;5;262.0;131.0;2184.0;1092.0;8.3359
Studio;Studio;Studio;485;0;19856.189999999995;40.94059793814433;264640.0;545.6494845360825;13.3278
Atelier;;;2;2;0.0;0.0;40.0;20.0;
