Catégorie;Categorie;Nom;Naam;Adresse;Adres;Code postal;Commune;Gemeente;Lien web;Google Maps;Google Street View;Geo Point;Geo Shape;source;last_update
CHILDREN;CHILDREN;CE LAEKEN;CE LAEKEN;avenue de busleyden 5a;de busleydenlaan 5a;1020;Bruxelles;Brussel;https://my.one.be/consultation/372;ggmpas0%2C4.359449818659768;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89714857320496%2C4.359449818659768;50.8971485732, 4.3594498187;"{""coordinates"": [4.3594498187, 50.8971485732], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE LAEKEN;CE LAEKEN;rue emile delva 75;emile delvastraat 75;1020;Bruxelles;Brussel;https://my.one.be/consultation/369;ggmpas0%2C4.342717853166554;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.879905471829645%2C4.342717853166554;50.8799054718, 4.3427178532;"{""coordinates"": [4.3427178532, 50.8799054718], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE LAEKEN;CE LAEKEN;avenue jean baptiste depaire 50;jean baptiste depairelaan 50;1020;Bruxelles;Brussel;https://my.one.be/consultation/1168;ggmpas0%2C4.334491173780044;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89028231730461%2C4.334491173780044;50.8902823173, 4.3344911738;"{""coordinates"": [4.3344911738, 50.8902823173], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
PRENATAL;PRENATAL;CPR LAEKEN;CPR LAEKEN;rue francois lesnino 59;francois lesninostraat 59;1020;Bruxelles;Brussel;https://my.one.be/consultation/392;ggmpas0%2C4.350188774240336;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87345315098583%2C4.350188774240336;50.873453151, 4.3501887742;"{""coordinates"": [4.3501887742, 50.873453151], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE LAEKEN;CE LAEKEN;rue francois lesnino 59;francois lesninostraat 59;1020;Bruxelles;Brussel;https://my.one.be/consultation/400;ggmpas0%2C4.350188774240336;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.87345315098583%2C4.350188774240336;50.873453151, 4.3501887742;"{""coordinates"": [4.3501887742, 50.873453151], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
PRENATAL;PRENATAL;CHU BRUGMANN - SITE VICTOR HORTA;CHU BRUGMANN - SITE VICTOR HORTA;place arthur van gehuchten 4;arthur van gehuchtenplein 4;1020;Bruxelles;Brussel;https://my.one.be/consultation/432;ggmpas0%2C4.332828438715994;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.88630472616688%2C4.332828438715994;50.8863047262, 4.3328284387;"{""coordinates"": [4.3328284387, 50.8863047262], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE BRUXELLES;CE BRUXELLES;boulevard de waterloo 110;waterloolaan 110;1000;Bruxelles;Brussel;https://my.one.be/consultation/401;ggmpas0%2C4.348868816983955;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83365607717193%2C4.348868816983955;50.8336560772, 4.348868817;"{""coordinates"": [4.348868817, 50.8336560772], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE BRUXELLES;CE BRUXELLES;rue des tanneurs 169;huidevettersstraat 169;1000;Bruxelles;Brussel;https://my.one.be/consultation/396;ggmpas0%2C4.3437056600306;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83782860206534%2C4.3437056600306;50.8378286021, 4.34370566;"{""coordinates"": [4.34370566, 50.8378286021], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE LAEKEN;CE LAEKEN;avenue houba de strooper 767 12;houba de strooperlaan 767 12;1020;Bruxelles;Brussel;https://my.one.be/consultation/402;ggmpas0%2C4.3279314406526685;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.89753262206375%2C4.3279314406526685;50.8975326221, 4.3279314407;"{""coordinates"": [4.3279314407, 50.8975326221], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE BRUXELLES;CE BRUXELLES;rue nicolay 7;nicolaystraat 7;1000;Bruxelles;Brussel;https://my.one.be/consultation/377;ggmpas0%2C4.354147363832171;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.859603979304985%2C4.354147363832171;50.8596039793, 4.3541473638;"{""coordinates"": [4.3541473638, 50.8596039793], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
PRENATAL;PRENATAL;CHU SAINT-PIERRE;CHU SAINT-PIERRE;rue haute 322;hoogstraat 322;1000;Bruxelles;Brussel;https://my.one.be/consultation/422;ggmpas0%2C4.345952318400498;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83443323951721%2C4.345952318400498;50.8344332395, 4.3459523184;"{""coordinates"": [4.3459523184, 50.8344332395], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE BRUXELLES;CE BRUXELLES;rue du canal 65;vaartstraat 65;1000;Bruxelles;Brussel;https://my.one.be/consultation/399;ggmpas0%2C4.348626680481483;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.85486654208261%2C4.348626680481483;50.8548665421, 4.3486266805;"{""coordinates"": [4.3486266805, 50.8548665421], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE SCHAERBEEK;CE SCHAERBEEK;rue francois joseph navez 90 B;francois joseph navezstraat 90 B;1000;Bruxelles;Brussel;https://my.one.be/consultation/1148;ggmpas0%2C4.373361493481082;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.873430620244264%2C4.373361493481082;50.8734306202, 4.3733614935;"{""coordinates"": [4.3733614935, 50.8734306202], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
CHILDREN;CHILDREN;CE NEDER-OVER-HEEMBEEK;CE NEDER-OVER-HEEMBEEK;rue du craetveld 44;kraatveldstraat 44;1120;Bruxelles;Brussel;https://my.one.be/consultation/373;ggmpas0%2C4.3837646213625545;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.896085676146214%2C4.3837646213625545;50.8960856761, 4.3837646214;"{""coordinates"": [4.3837646214, 50.8960856761], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
PRENATAL;PRENATAL;CPR BRUXELLES;CPR BRUXELLES;rue des tanneurs 169;huidevettersstraat 169;1000;Bruxelles;Brussel;https://my.one.be/consultation/393;ggmpas0%2C4.3437056600306;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=50.83782860206534%2C4.3437056600306;50.8378286021, 4.34370566;"{""coordinates"": [4.34370566, 50.8378286021], ""type"": ""Point""}";ONE;2026-01-27T01:00:00+01:00
